timestamp_utc,compiler,compiler_version,build_type,kernel,block_size,optimization_level,m,n,k,run,time_ms,gflops,packing_time_ms,one_shot_time_ms,one_shot_gflops,verified,max_abs_error,max_rel_error
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,256,256,256,1,2.028115,16.544639727,0,2.028115,16.544639727,true,1.25088075222e-05,0.354912794993
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,256,256,256,2,2.041609,16.4352880498,0,2.041609,16.4352880498,true,1.25088075222e-05,0.354912794993
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,256,256,256,3,2.009533,16.697626762,0,2.009533,16.697626762,true,1.25088075222e-05,0.354912794993
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,256,256,256,4,2.05378,16.3378901343,0,2.05378,16.3378901343,true,1.25088075222e-05,0.354912794993
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,256,256,256,5,2.077767,16.1492756406,0,2.077767,16.1492756406,true,1.25088075222e-05,0.354912794993
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,256,256,256,6,2.036477,16.4767056048,0,2.036477,16.4767056048,true,1.25088075222e-05,0.354912794993
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,256,256,256,7,2.079935,16.1324426004,0,2.079935,16.1324426004,true,1.25088075222e-05,0.354912794993
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,512,512,512,1,18.680045,14.3701718063,0,18.680045,14.3701718063,true,2.86839860273e-05,0.0940250526919
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,512,512,512,2,18.880327,14.2177334111,0,18.880327,14.2177334111,true,2.86839860273e-05,0.0940250526919
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,512,512,512,3,18.904955,14.1992115824,0,18.904955,14.1992115824,true,2.86839860273e-05,0.0940250526919
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,512,512,512,4,18.602676,14.4299377143,0,18.602676,14.4299377143,true,2.86839860273e-05,0.0940250526919
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,512,512,512,5,18.369227,14.6133234676,0,18.369227,14.6133234676,true,2.86839860273e-05,0.0940250526919
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,512,512,512,6,18.523947,14.4912666831,0,18.523947,14.4912666831,true,2.86839860273e-05,0.0940250526919
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,512,512,512,7,18.720467,14.3391431421,0,18.720467,14.3391431421,true,2.86839860273e-05,0.0940250526919
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,1024,1024,1024,1,162.660188,13.202269556,0,162.660188,13.202269556,true,7.58949071269e-05,0.956272115438
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,1024,1024,1024,2,163.433298,13.1398171259,0,163.433298,13.1398171259,true,7.58949071269e-05,0.956272115438
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,1024,1024,1024,3,162.917373,13.1814281587,0,162.917373,13.1814281587,true,7.58949071269e-05,0.956272115438
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,1024,1024,1024,4,163.40068,13.1424400927,0,163.40068,13.1424400927,true,7.58949071269e-05,0.956272115438
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,1024,1024,1024,5,163.788189,13.1113461911,0,163.788189,13.1113461911,true,7.58949071269e-05,0.956272115438
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,1024,1024,1024,6,157.87642,13.602307729,0,157.87642,13.602307729,true,7.58949071269e-05,0.956272115438
2026-09-12T12:58:12Z,GNU,16.1.1,Release,blocked,32,O3,1024,1024,1024,7,162.720429,13.1973819218,0,162.720429,13.1973819218,true,7.58949071269e-05,0.956272115438
