timestamp_utc,compiler,compiler_version,build_type,kernel,target_isa,microkernel,block_size,optimization_level,m,n,k,run,time_ms,gflops,packing_time_ms,one_shot_time_ms,one_shot_gflops,verified,max_abs_error,max_rel_error
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,256,256,256,1,0.60055,55.8728365665,0.010263,0.610813,54.9340501921,true,1.21228245611e-05,0.548482863671
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,256,256,256,2,0.784053,42.7961273026,0.010074,0.794127,42.253231536,true,1.21228245611e-05,0.548482863671
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,256,256,256,3,0.636937,52.6809276271,0.010176,0.647113,51.8525079855,true,1.21228245611e-05,0.548482863671
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,256,256,256,4,0.573401,58.5182655768,0.010154,0.583555,57.5000334159,true,1.21228245611e-05,0.548482863671
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,256,256,256,5,0.584568,57.4003914001,0.010145,0.594713,56.4212183019,true,1.21228245611e-05,0.548482863671
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,256,256,256,6,0.570978,58.7665934589,0.010135,0.581113,57.741664702,true,1.21228245611e-05,0.548482863671
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,256,256,256,7,0.608477,55.1449471385,0.010161,0.618638,54.2392028941,true,1.21228245611e-05,0.548482863671
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,512,512,512,1,4.698155,57.1363558674,0.071354,4.769509,56.2815702832,true,2.93167166667e-05,0.228768401245
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,512,512,512,2,4.673221,57.441207253,0.06783,4.741051,56.6193985258,true,2.93167166667e-05,0.228768401245
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,512,512,512,3,4.578123,58.6343914307,0.066544,4.644667,57.7943383239,true,2.93167166667e-05,0.228768401245
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,512,512,512,4,4.58043,58.6048593691,0.066452,4.646882,57.7667898604,true,2.93167166667e-05,0.228768401245
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,512,512,512,5,4.657914,57.6299725585,0.0674,4.725314,56.807961545,true,2.93167166667e-05,0.228768401245
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,512,512,512,6,4.976634,53.939159681,0.066128,5.042762,53.2318312861,true,2.93167166667e-05,0.228768401245
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,512,512,512,7,4.58689,58.5223225323,0.065367,4.652257,57.700048815,true,2.93167166667e-05,0.228768401245
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,1024,1024,1024,1,40.244156,53.3613786807,0.363764,40.60792,52.8833697466,true,7.58949071269e-05,1.06334413729
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,1024,1024,1024,2,39.728639,54.0537934864,0.316678,40.045317,53.6263365826,true,7.58949071269e-05,1.06334413729
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,1024,1024,1024,3,38.965987,55.1117477917,0.313044,39.279031,54.6725210202,true,7.58949071269e-05,1.06334413729
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,1024,1024,1024,4,41.562984,51.668177819,0.333382,41.896366,51.2570385699,true,7.58949071269e-05,1.06334413729
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,1024,1024,1024,5,39.544743,54.3051613207,0.318946,39.863689,53.8706703236,true,7.58949071269e-05,1.06334413729
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,1024,1024,1024,6,40.202684,53.4164248337,0.327282,40.529966,52.985083876,true,7.58949071269e-05,1.06334413729
2026-09-12T13:34:58Z,GNU,16.1.1,Release,avx2,avx2+fma,4x8,128,O3,1024,1024,1024,7,41.310029,51.9845591975,0.320358,41.630387,51.584522815,true,7.58949071269e-05,1.06334413729
