timestamp_utc,compiler,compiler_version,build_type,kernel,block_size,optimization_level,m,n,k,run,time_ms,gflops,packing_time_ms,one_shot_time_ms,one_shot_gflops,verified,max_abs_error,max_rel_error
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,256,256,256,1,2.015995,16.6441047721,0.017856,2.033851,16.4979794488,true,1.25088075222e-05,0.354912794993
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,256,256,256,2,1.98984,16.8628794275,0.017823,2.007663,16.7131794529,true,1.25088075222e-05,0.354912794993
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,256,256,256,3,1.990709,16.8555183103,0.017696,2.008405,16.7070048123,true,1.25088075222e-05,0.354912794993
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,256,256,256,4,1.987407,16.8835231032,0.017726,2.005133,16.7342675025,true,1.25088075222e-05,0.354912794993
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,256,256,256,5,2.07399,16.1786855289,0.017695,2.091685,16.0418189163,true,1.25088075222e-05,0.354912794993
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,256,256,256,6,1.931666,17.3707214394,0.093419,2.025085,16.5693943711,true,1.25088075222e-05,0.354912794993
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,256,256,256,7,2.029807,16.5308484994,0.027127,2.056934,16.3128384285,true,1.25088075222e-05,0.354912794993
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,512,512,512,1,17.237038,15.5731777119,0.082652,17.31969,15.4988603145,true,2.86839860273e-05,0.0940250526919
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,512,512,512,2,16.017337,16.7590565148,0.133332,16.150669,16.620701966,true,2.86839860273e-05,0.0940250526919
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,512,512,512,3,16.005942,16.7709876745,0.082124,16.088066,16.685377596,true,2.86839860273e-05,0.0940250526919
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,512,512,512,4,16.074695,16.6992565644,0.08226,16.156955,16.6142355413,true,2.86839860273e-05,0.0940250526919
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,512,512,512,5,16.481497,16.2870797477,0.081026,16.562523,16.2074012516,true,2.86839860273e-05,0.0940250526919
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,512,512,512,6,16.542066,16.2274443833,0.081382,16.623448,16.1480010645,true,2.86839860273e-05,0.0940250526919
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,512,512,512,7,16.260898,16.5080339351,0.081545,16.342443,16.4256626748,true,2.86839860273e-05,0.0940250526919
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,1024,1024,1024,1,133.398783,16.098225184,0.382681,133.781464,16.0521763164,true,7.58949071269e-05,0.956272115438
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,1024,1024,1024,2,129.760988,16.5495321907,0.364579,130.125567,16.5031645779,true,7.58949071269e-05,0.956272115438
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,1024,1024,1024,3,128.931071,16.65605995,0.388829,129.3199,16.6059798067,true,7.58949071269e-05,0.956272115438
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,1024,1024,1024,4,132.086418,16.2581715858,0.364057,132.450475,16.2134839305,true,7.58949071269e-05,0.956272115438
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,1024,1024,1024,5,134.031456,16.022236213,0.343066,134.374522,15.9813305085,true,7.58949071269e-05,0.956272115438
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,1024,1024,1024,6,133.578003,16.0766263889,0.348609,133.926612,16.034779167,true,7.58949071269e-05,0.956272115438
2026-09-12T12:58:17Z,GNU,16.1.1,Release,packed,32,O3,1024,1024,1024,7,133.577406,16.0766982404,0.351511,133.928917,16.0345031984,true,7.58949071269e-05,0.956272115438
