timestamp_utc,compiler,compiler_version,build_type,optimization_level,m,n,k,run,time_ms,gflops,verified,max_abs_error,max_rel_error
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,256,256,256,1,212.420146,0.157962569144,true,1.25088075222e-05,0.354912794993
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,256,256,256,2,210.74418,0.159218783646,true,1.25088075222e-05,0.354912794993
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,256,256,256,3,204.643754,0.163965092235,true,1.25088075222e-05,0.354912794993
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,256,256,256,4,209.58234,0.160101428393,true,1.25088075222e-05,0.354912794993
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,256,256,256,5,239.258339,0.14024352146,true,1.25088075222e-05,0.354912794993
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,256,256,256,6,209.397682,0.160242614338,true,1.25088075222e-05,0.354912794993
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,256,256,256,7,200.063587,0.167718836312,true,1.25088075222e-05,0.354912794993
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,512,512,512,1,1668.851435,0.160850421056,true,2.86839860273e-05,0.0940250526919
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,512,512,512,2,1637.117064,0.163968394138,true,2.86839860273e-05,0.0940250526919
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,512,512,512,3,1652.49393,0.16244262755,true,2.86839860273e-05,0.0940250526919
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,512,512,512,4,1726.825254,0.15545027233,true,2.86839860273e-05,0.0940250526919
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,512,512,512,5,1631.130897,0.164570149762,true,2.86839860273e-05,0.0940250526919
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,512,512,512,6,1674.173864,0.160339055442,true,2.86839860273e-05,0.0940250526919
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,512,512,512,7,1734.251646,0.154784605002,true,2.86839860273e-05,0.0940250526919
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,1024,1024,1024,1,14896.577454,0.144159532928,true,7.58949071269e-05,0.956272115438
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,1024,1024,1024,2,15234.101024,0.140965564336,true,7.58949071269e-05,0.956272115438
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,1024,1024,1024,3,15208.893712,0.141199201511,true,7.58949071269e-05,0.956272115438
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,1024,1024,1024,4,14520.600084,0.147892210761,true,7.58949071269e-05,0.956272115438
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,1024,1024,1024,5,14575.332154,0.147336858283,true,7.58949071269e-05,0.956272115438
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,1024,1024,1024,6,14535.712726,0.147738448639,true,7.58949071269e-05,0.956272115438
2026-09-12T04:32:44Z,GNU,16.1.1,Release,O0,1024,1024,1024,7,14449.681809,0.148618057919,true,7.58949071269e-05,0.956272115438
