timestamp_utc,compiler,compiler_version,build_type,kernel,block_size,optimization_level,m,n,k,run,time_ms,gflops,verified,max_abs_error,max_rel_error
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,256,256,256,1,1.823043,18.4057271277,true,1.25088075222e-05,0.354912794993
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,256,256,256,2,1.842938,18.2070324666,true,1.25088075222e-05,0.354912794993
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,256,256,256,3,1.870927,17.9346559219,true,1.25088075222e-05,0.354912794993
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,256,256,256,4,1.963763,17.0868032446,true,1.25088075222e-05,0.354912794993
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,256,256,256,5,1.861393,18.0265167001,true,1.25088075222e-05,0.354912794993
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,256,256,256,6,1.923943,17.4404501589,true,1.25088075222e-05,0.354912794993
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,256,256,256,7,1.914151,17.5296682446,true,1.25088075222e-05,0.354912794993
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,512,512,512,1,16.934267,15.851613536,true,2.86839860273e-05,0.0940250526919
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,512,512,512,2,15.789915,17.0004370511,true,2.86839860273e-05,0.0940250526919
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,512,512,512,3,15.651793,17.1504603977,true,2.86839860273e-05,0.0940250526919
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,512,512,512,4,15.611183,17.1950745821,true,2.86839860273e-05,0.0940250526919
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,512,512,512,5,15.638007,17.1655797315,true,2.86839860273e-05,0.0940250526919
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,512,512,512,6,15.739545,17.0548421825,true,2.86839860273e-05,0.0940250526919
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,512,512,512,7,15.957308,16.8221015725,true,2.86839860273e-05,0.0940250526919
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,1024,1024,1024,1,132.319564,16.2295248192,true,7.58949071269e-05,0.956272115438
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,1024,1024,1024,2,130.499085,16.4559287753,true,7.58949071269e-05,0.956272115438
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,1024,1024,1024,3,136.100012,15.7787175507,true,7.58949071269e-05,0.956272115438
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,1024,1024,1024,4,143.347331,14.9809810411,true,7.58949071269e-05,0.956272115438
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,1024,1024,1024,5,134.596474,15.9549770078,true,7.58949071269e-05,0.956272115438
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,1024,1024,1024,6,133.711664,16.060555854,true,7.58949071269e-05,0.956272115438
2026-09-12T11:16:37Z,GNU,16.1.1,Release,blocked,64,default,1024,1024,1024,7,137.421586,15.6269747025,true,7.58949071269e-05,0.956272115438
