timestamp_utc,compiler,compiler_version,build_type,kernel,target_isa,microkernel,block_size,threads,optimization_level,m,n,k,run,time_ms,gflops,packing_time_ms,one_shot_time_ms,one_shot_gflops,verified,max_abs_error,max_rel_error
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,256,256,256,1,0.497311,67.4717269475,0.009345,0.506656,66.2272468894,true,1.21228245611e-05,0.548482863671
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,256,256,256,2,0.502868,66.7261229587,0.009163,0.512031,65.5320322402,true,1.21228245611e-05,0.548482863671
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,256,256,256,3,0.495056,67.7790633787,0.009235,0.504291,66.537836289,true,1.21228245611e-05,0.548482863671
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,256,256,256,4,0.50216,66.8202007328,0.009171,0.511331,65.6217440366,true,1.21228245611e-05,0.548482863671
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,256,256,256,5,0.495642,67.6989278552,0.009194,0.504836,66.4660048016,true,1.21228245611e-05,0.548482863671
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,256,256,256,6,0.495817,67.6750333288,0.009202,0.505019,66.441920007,true,1.21228245611e-05,0.548482863671
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,256,256,256,7,0.496143,67.6305661876,0.009255,0.505398,66.392094943,true,1.21228245611e-05,0.548482863671
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,512,512,512,1,4.451645,60.300283603,0.057279,4.508924,59.5342605021,true,2.93167166667e-05,0.228768401245
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,512,512,512,2,4.13558,64.9087808723,0.065418,4.200998,63.8980204228,true,2.93167166667e-05,0.228768401245
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,512,512,512,3,4.172376,64.3363531954,0.058026,4.230402,63.4538883066,true,2.93167166667e-05,0.228768401245
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,512,512,512,4,4.421648,60.7093680908,0.057858,4.479506,59.9252363988,true,2.93167166667e-05,0.228768401245
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,512,512,512,5,4.192988,64.0200868688,0.057573,4.250561,63.1529475756,true,2.93167166667e-05,0.228768401245
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,512,512,512,6,4.090257,65.628017017,0.057544,4.147801,64.7175349058,true,2.93167166667e-05,0.228768401245
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,512,512,512,7,4.152488,64.6444868715,0.07212,4.224608,63.5409145653,true,2.93167166667e-05,0.228768401245
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,1024,1024,1024,1,34.50753,62.2323199603,0.294351,34.801881,61.7059649161,true,7.58949071269e-05,1.06334413729
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,1024,1024,1024,2,34.749983,61.7981208221,0.270303,35.020286,61.3211339279,true,7.58949071269e-05,1.06334413729
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,1024,1024,1024,3,33.334159,64.4229136844,0.266625,33.600784,63.9117125362,true,7.58949071269e-05,1.06334413729
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,1024,1024,1024,4,33.168858,64.7439730364,0.264969,33.433827,64.2308655841,true,7.58949071269e-05,1.06334413729
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,1024,1024,1024,5,33.206518,64.6705459452,0.265172,33.47169,64.1582079662,true,7.58949071269e-05,1.06334413729
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,1024,1024,1024,6,32.873371,65.3259335041,0.264692,33.138063,64.804139216,true,7.58949071269e-05,1.06334413729
2026-09-12T15:27:07Z,GNU,16.1.1,Release,avx2-mt,avx2+fma,4x8,128,1,O3,1024,1024,1024,7,32.644569,65.7837953995,0.268737,32.913306,65.2466709968,true,7.58949071269e-05,1.06334413729
